model,criterion,conditions,mean_pairwise_jaccard_mean,mean_pairwise_jaccard_sd,mean_pairwise_jaccard_min,mean_pairwise_jaccard_max,min_pairwise_jaccard_mean,min_pairwise_jaccard_sd,min_pairwise_jaccard_min,min_pairwise_jaccard_max,unanimous_unit_rate_mean,unanimous_unit_rate_sd,unanimous_unit_rate_min,unanimous_unit_rate_max,flip_unit_rate_mean,flip_unit_rate_sd,flip_unit_rate_min,flip_unit_rate_max,fleiss_kappa_across_runs_mean,fleiss_kappa_across_runs_sd,fleiss_kappa_across_runs_min,fleiss_kappa_across_runs_max
GPT-5.2,Minimal,3,0.9333333333333333,0.11547005383792512,0.8,1.0,0.8888888888888888,0.1924500897298753,0.6666666666666666,1.0,0.9938271604938271,0.010691671651659719,0.9814814814814815,1.0,0.00617283950617283,0.010691671651659719,0.0,0.01851851851851849,0.8691860465116271,0.0,0.8691860465116271,0.8691860465116271
GPT-5.2,Problem-oriented,3,0.7684907491864014,0.08550721481742837,0.6710888531758097,0.8311965811965812,0.611111111111111,0.0962250448649376,0.5,0.6666666666666666,0.8136708136708136,0.08977528021785179,0.7142857142857143,0.8888888888888888,0.18632918632918635,0.08977528021785179,0.11111111111111116,0.2857142857142857,0.7935877889653703,0.099526045709792,0.6806749330703116,0.8685765941172381
GPT-5.2,Unambiguous,3,0.8847507602832146,0.08478068932173656,0.7958533758330919,0.9647058823529411,0.8333333333333334,0.10329072306718369,0.7352941176470589,0.9411764705882353,0.8365438682410985,0.11259694542831897,0.717391304347826,0.9411764705882353,0.16345613175890153,0.11259694542831897,0.05882352941176472,0.28260869565217395,0.5874473253467497,0.31317019601430557,0.23192771084337518,0.822477757260366
GPT-5.2,Uniform,3,0.8066666666666666,0.3348631561299829,0.42000000000000004,1.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.9758454106280193,0.04183697602823375,0.927536231884058,1.0,0.024154589371980673,0.04183697602823375,0.0,0.07246376811594202,0.5978299856527982,0.0,0.5978299856527982,0.5978299856527982
GPT-5.2,Unique,3,0.8666666666666667,0.1527525231651947,0.7,1.0,0.75,0.25,0.5,1.0,0.9769778558189445,0.02048023113512851,0.9607843137254902,1.0,0.023022144181055488,0.02048023113512851,0.0,0.039215686274509776,0.8654235193393814,0.09259679349240772,0.7999476987447696,0.9308993399339933
GPT-5.2,Well-formed,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
Gemini-3.1-Pro-Preview,Atomic,3,0.8722222222222222,0.12509255832441893,0.75,1.0,0.7555555555555555,0.2143033502442879,0.6,1.0,0.9810182137371077,0.020557158897144247,0.9591836734693877,1.0,0.018981786262892264,0.020557158897144247,0.0,0.04081632653061229,0.8712065470761119,0.048846767317782994,0.8366666666666661,0.9057464274855577
Gemini-3.1-Pro-Preview,Complete,3,0.6901675348501974,0.23091287372074848,0.4235978426458303,0.8285714285714285,0.4932539682539682,0.2872585581212643,0.175,0.7333333333333333,0.73192382286741,0.3275265842099335,0.3559322033898305,0.9552238805970149,0.26807617713259,0.3275265842099336,0.04477611940298509,0.6440677966101696,0.6763347123070753,0.34205186333352783,0.2816558441558442,0.8867478025693032
Gemini-3.1-Pro-Preview,Conceptually sound,3,0.7317149758454107,0.40148652794596135,0.27014492753623187,1.0,0.6041666666666666,0.5315562842572114,0.0,1.0,0.8369391025641025,0.24296789034948157,0.5576923076923077,1.0,0.16306089743589744,0.24296789034948157,0.0,0.4423076923076923,0.7543083922861525,0.37949617688160187,0.3172268907563025,1.0
Gemini-3.1-Pro-Preview,Conflict-free,3,0.9466666666666667,0.09237604307034007,0.8400000000000001,1.0,0.8666666666666667,0.23094010767585033,0.6,1.0,0.9903381642512077,0.01673479041129351,0.9710144927536232,1.0,0.009661835748792277,0.01673479041129351,0.0,0.02898550724637683,0.8762553802008608,0.0,0.8762553802008608,0.8762553802008608
Gemini-3.1-Pro-Preview,Estimatable,3,0.8123017615771239,0.1640531665314268,0.6333333333333333,0.9555555555555555,0.6296296296296295,0.27962349760262034,0.3333333333333333,0.8888888888888888,0.9041019955654103,0.10765446268443066,0.7804878048780488,0.9772727272727273,0.09589800443458978,0.10765446268443066,0.022727272727272707,0.2195121951219512,0.8484614977081023,0.10978834527143426,0.7607655502392349,0.9715909090909093
Gemini-3.1-Pro-Preview,Full sentence,3,0.76,0.41569219381653055,0.27999999999999997,1.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.9743589743589743,0.04441155916843272,0.9230769230769231,1.0,0.025641025641025623,0.04441155916843272,0.0,0.07692307692307687,0.31434599156118104,0.0,0.31434599156118104,0.31434599156118104
Gemini-3.1-Pro-Preview,Independent,3,0.9148384353741497,0.09985871010009272,0.8,0.98125,0.8580640589569161,0.16643118350015462,0.6666666666666666,0.96875,0.969185781705769,0.017456278261897336,0.9491525423728814,0.9811320754716981,0.03081421829423107,0.017456278261897336,0.018867924528301883,0.05084745762711862,0.9157069509811894,0.04537140449739816,0.8786630036630035,0.9663127807268272
Gemini-3.1-Pro-Preview,Minimal,3,0.9809523809523809,0.03299144395369291,0.9428571428571428,1.0,0.9523809523809523,0.08247860988423228,0.8571428571428571,1.0,0.9938271604938271,0.010691671651659719,0.9814814814814815,1.0,0.00617283950617283,0.010691671651659719,0.0,0.01851851851851849,0.9635578350654609,0.0,0.9635578350654609,0.9635578350654609
Gemini-3.1-Pro-Preview,Problem-oriented,3,0.86979044834308,0.04948405275995826,0.8153846153846154,0.9121153846153846,0.75638326585695,0.07576045905275458,0.6923076923076923,0.84,0.8990861609909229,0.007818910655173905,0.8918918918918919,0.9074074074074074,0.10091383900907709,0.007818910655173905,0.09259259259259256,0.10810810810810811,0.8862615979408431,0.03893181699337248,0.8413379073756432,0.9101666666666665
Gemini-3.1-Pro-Preview,Unambiguous,3,0.9090909090909091,0.15745916432444337,0.7272727272727273,1.0,0.8484848484848485,0.262431940540739,0.5454545454545454,1.0,0.9645390070921985,0.0614202414031517,0.8936170212765957,1.0,0.035460992907801435,0.0614202414031517,0.0,0.1063829787234043,0.9288396317829458,0.12325337323724743,0.7865188953488373,1.0
Gemini-3.1-Pro-Preview,Uniform,3,0.8666666666666667,0.23094010767585033,0.6,1.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.9833333333333333,0.028867513459481315,0.95,1.0,0.01666666666666668,0.028867513459481315,0.0,0.050000000000000044,-0.010101010101008969,0.0,-0.010101010101008969,-0.010101010101008969
Gemini-3.1-Pro-Preview,Unique,3,0.6888888888888889,0.3790827135384885,0.26666666666666666,1.0,0.5,0.5,0.0,1.0,0.9524453459544737,0.052225857889777336,0.896551724137931,1.0,0.047554654045526244,0.052225857889777336,0.0,0.10344827586206895,0.7165456807163735,0.35057384955629456,0.3245341614906833,1.0
Gemini-3.1-Pro-Preview,Well-formed,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
