prompt_profile,model,project,run,n,TP,FP,FN,TN,precision,recall,F1,specificity,accuracy,balanced_accuracy,FPR,FNR,NPV,MCC
one_shot,GPT-5-Mini,BADCamp,5,345,9,2,16,318,0.8181818181818182,0.36,0.5,0.99375,0.9478260869565217,0.676875,0.00625,0.64,0.9520958083832335,0.5220016383091025
one_shot,GPT-5-Mini,PlanningPoker,1,265,2,2,14,247,0.5,0.125,0.2,0.9919678714859438,0.939622641509434,0.5584839357429718,0.008032128514056224,0.875,0.946360153256705,0.22849463241524173
one_shot,GPT-5-Mini,PlanningPoker,2,265,7,3,9,246,0.7,0.4375,0.5384615384615384,0.9879518072289156,0.9547169811320755,0.7127259036144578,0.012048192771084338,0.5625,0.9647058823529412,0.5317897318703605
one_shot,GPT-5-Mini,PlanningPoker,3,265,3,1,13,248,0.75,0.1875,0.3,0.9959839357429718,0.9471698113207547,0.5917419678714859,0.004016064257028112,0.8125,0.9501915708812261,0.3584325671578148
one_shot,GPT-5-Mini,PlanningPoker,4,265,5,2,11,247,0.7142857142857143,0.3125,0.43478260869565216,0.9919678714859438,0.9509433962264151,0.6522339357429718,0.008032128514056224,0.6875,0.9573643410852714,0.4522121877417948
one_shot,GPT-5-Mini,PlanningPoker,5,265,4,2,12,247,0.6666666666666666,0.25,0.36363636363636365,0.9919678714859438,0.9471698113207547,0.6209839357429718,0.008032128514056224,0.75,0.9536679536679536,0.3874287646670148
one_shot,GPT-5-Mini,Zooniverse,1,300,10,15,14,261,0.4,0.4166666666666667,0.40816326530612246,0.9456521739130435,0.9033333333333333,0.6811594202898551,0.05434782608695652,0.5833333333333334,0.9490909090909091,0.35564337957950964
one_shot,GPT-5-Mini,Zooniverse,2,300,6,2,18,274,0.75,0.25,0.375,0.9927536231884058,0.9333333333333333,0.6213768115942029,0.007246376811594203,0.75,0.9383561643835616,0.40877983432183085
one_shot,GPT-5-Mini,Zooniverse,3,300,2,1,22,275,0.6666666666666666,0.08333333333333333,0.14814814814814814,0.9963768115942029,0.9233333333333333,0.5398550724637681,0.0036231884057971015,0.9166666666666666,0.9259259259259259,0.2173376208541448
one_shot,GPT-5-Mini,Zooniverse,4,300,6,3,18,273,0.6666666666666666,0.25,0.36363636363636365,0.9891304347826086,0.93,0.6195652173913043,0.010869565217391304,0.75,0.9381443298969072,0.38030082378237134
one_shot,GPT-5-Mini,Zooniverse,5,300,7,0,17,276,1.0,0.2916666666666667,0.45161290322580644,1.0,0.9433333333333334,0.6458333333333334,0.0,0.7083333333333334,0.9419795221843004,0.5241603068754389
zero_shot,DeepSeek-V4-Pro,BADCamp,1,345,10,8,15,312,0.5555555555555556,0.4,0.46511627906976744,0.975,0.9333333333333333,0.6875,0.025,0.6,0.9541284403669725,0.4371858854891681
