model,criterion,runs,TP_mean,TP_sd,FP_mean,FP_sd,FN_mean,FN_sd,TN_mean,TN_sd,precision_mean,precision_sd,precision_defined_runs,recall_mean,recall_sd,recall_defined_runs,F1_mean,F1_sd,F1_defined_runs,specificity_mean,specificity_sd,specificity_defined_runs,accuracy_mean,accuracy_sd,accuracy_defined_runs,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_defined_runs,FPR_mean,FPR_sd,FPR_defined_runs,FNR_mean,FNR_sd,FNR_defined_runs,NPV_mean,NPV_sd,NPV_defined_runs,MCC_mean,MCC_sd,MCC_defined_runs
Gemini-3.1-Pro-Preview,Complete,5,0.0,0.0,43.2,13.141537200799608,0.0,0.0,134.8,13.141537200799608,0.0,0.0,5,,,0,0.0,0.0,5,0.7573033707865169,0.07382886067864951,5,0.7573033707865169,0.07382886067864951,5,,,0,0.24269662921348314,0.07382886067864948,5,,,0,1.0,0.0,5,,,0
Gemini-3.1-Pro-Preview,Conceptually sound,5,1.0,0.0,25.4,9.762171889492624,0.0,0.0,149.6,9.762171889492624,0.042726244343891405,0.016721858837560073,5,1.0,0.0,5,0.08155808559983133,0.03062909009111901,5,0.8548571428571429,0.05578383936852929,5,0.8556818181818182,0.05546688573575356,5,0.9274285714285714,0.027891919684264615,5,0.14514285714285713,0.05578383936852928,5,0.0,0.0,5,1.0,0.0,5,0.1890864349000904,0.043336311767081456,5
Gemini-3.1-Pro-Preview,Conflict-free,5,0.0,0.0,3.4,0.8944271909999159,0.0,0.0,176.6,0.8944271909999159,0.0,0.0,5,,,0,0.0,0.0,5,0.981111111111111,0.004969039949999515,5,0.981111111111111,0.004969039949999515,5,,,0,0.01888888888888889,0.004969039949999532,5,,,0,1.0,0.0,5,,,0
Gemini-3.1-Pro-Preview,Estimatable,5,14.4,0.5477225575051661,19.0,2.8284271247461903,22.6,0.5477225575051661,73.0,2.8284271247461903,0.4334313563736004,0.03224633382645595,5,0.3891891891891892,0.014803312365004491,5,0.409355527102006,0.012824794766812603,5,0.7934782608695652,0.030743773095067303,5,0.6775193798449612,0.019457209919397103,5,0.5913337250293772,0.0120080553722485,5,0.20652173913043478,0.030743773095067282,5,0.6108108108108108,0.01480331236500446,5,0.763499228841334,0.0053181235249462845,5,0.189588181841615,0.030159433332805737,5
Gemini-3.1-Pro-Preview,Full sentence,5,1.8,2.04939015319192,0.0,0.0,6.2,2.04939015319192,169.0,0.0,1.0,0.0,3,0.225,0.25617376914899,5,0.3138461538461539,0.32373559230923415,5,1.0,0.0,5,0.9649717514124294,0.011578475441762286,5,0.6125,0.128086884574495,5,0.0,0.0,5,0.775,0.25617376914899,5,0.9647182461474932,0.011367712530969548,5,0.5887840719503035,0.1687541553848448,3
Gemini-3.1-Pro-Preview,Independent,5,3.0,0.0,78.8,1.0954451150103321,0.0,0.0,74.2,1.0954451150103321,0.036680135174845724,0.0004964733518123426,5,1.0,0.0,5,0.07076426087386481,0.0009235678394241434,5,0.4849673202614379,0.0071597719935315805,5,0.4948717948717949,0.007022084070579043,5,0.742483660130719,0.003579885996765779,5,0.5150326797385621,0.007159771993531603,5,0.0,0.0,5,1.0,0.0,5,0.1333741408090184,0.0018871068493320382,5
Gemini-3.1-Pro-Preview,Minimal,5,5.0,0.0,1.2,0.4472135954999579,15.0,0.0,111.8,0.4472135954999579,0.8095238095238095,0.053239713749995005,5,0.25,0.0,5,0.3817663817663818,0.006370564038460958,5,0.9893805309734514,0.003957642438052731,5,0.8781954887218045,0.0033625082368418137,5,0.6196902654867257,0.0019788212190263656,5,0.010619469026548672,0.003957642438052725,5,0.75,0.0,5,0.8817022872140983,0.00041921034448815354,5,0.4066127071332782,0.019431505529512387,5
Gemini-3.1-Pro-Preview,Problem-oriented,5,47.8,4.324349662087931,4.4,0.8944271909999159,35.2,4.324349662087931,52.6,0.8944271909999159,0.9161220854617081,0.01314100182891476,5,0.5759036144578313,0.052100598338408806,5,0.7059724658130528,0.03964999348027588,5,0.9228070175438596,0.01569170510526169,5,0.7171428571428572,0.027479120088101914,5,0.7493553160008455,0.022176871297726747,5,0.07719298245614034,0.01569170510526168,5,0.42409638554216866,0.05210059833840879,5,0.6002220480668756,0.026527318434721912,5,0.5073547142799436,0.03590215337835011,5
Gemini-3.1-Pro-Preview,Unambiguous,5,24.6,0.5477225575051661,15.0,0.0,25.4,0.5477225575051661,79.0,0.0,0.6211538461538462,0.005266563052934271,5,0.492,0.010954451150103331,5,0.549063670411985,0.00888937983466564,5,0.8404255319148937,0.0,5,0.7194444444444444,0.00380362887156364,5,0.6662127659574468,0.005477225575051666,5,0.1595744680851064,0.0,5,0.508,0.010954451150103331,5,0.7567216117216117,0.003962461725541023,5,0.3544200920876122,0.010169041702679547,5
Gemini-3.1-Pro-Preview,Uniform,5,0.6,1.3416407864998738,0.0,0.0,2.4,1.3416407864998738,179.0,0.0,1.0,0.0,1,0.2,0.4472135954999579,5,0.2,0.4472135954999579,5,1.0,0.0,5,0.9868131868131867,0.007371652673076253,5,0.6,0.22360679774997896,5,0.0,0.0,5,0.8,0.4472135954999579,5,0.9868131868131867,0.007371652673076253,5,1.0,0.0,1
